,Track name,artists,genre,Likes
5194,Misty,Erroll Garner,Jazz,DISLIKE
10231,Everything She Wants,Wham!,Pop,DISLIKE
9598,Eight Days A Week,The Beatles,Pop,DISLIKE
13204,Why Can't We,Chicago,Rock,DISLIKE
14792,back together,Toosii,Today,DISLIKE
216,Kill the Ache,Currents,metalcore,LIKE
58,Locked (In My Head),Fit For A King,metalcore,LIKE
4390,Your Love,Graham Central Station,Funk,DISLIKE
13744,The End,The Doors,Rock,DISLIKE
54,The Box (Feat. Brandon Saller & Ryan Kirby),"Ice Nine Kills, Brandon Saller, Ryan Kirby",metalcore,LIKE
236,Second Skin,Currents,metalcore,LIKE
206,Consume,Polaris,metalcore,LIKE
7633,Step By Step,Eddie Rabbitt,Pop,DISLIKE
259,Abandon Us,Bury Tomorrow,metalcore,LIKE
46,Bleed Together,Miss May I,metalcore,LIKE
3353,Higher Love,Kygo,EDM,DISLIKE
732,Crystal Baller,Third Eye Blind,Alt. Rock,DISLIKE
24,Meteor,Architects,metalcore,LIKE
187,Exit Wounds,Bad Omens,metalcore,LIKE
4405,Pneumonia,Joe Tex,Funk,DISLIKE
26,Racing Home,Saviour,metalcore,LIKE
12572,Paparazzi,Xzibit,Rap,DISLIKE
42,Cloud Cascade,Invent Animate,metalcore,LIKE
205,Wasted Space,Kingdom Of Giants,metalcore,LIKE
10576,Eighties,Killing Joke,Punk,DISLIKE
12630,Rum & RedBull,Beenie Man,Reggae,DISLIKE
1561,Are You Teasing Me,Carl Smith,Country,DISLIKE
4571,What Is Hip?,Tower Of Power,Funk,DISLIKE
8956,Rush Rush,Paula Abdul,Pop,DISLIKE
265,ENLIGHTENMENT(?),While She Sleeps,metalcore,LIKE
39,Echo Chamber,Northlane,metalcore,LIKE
263,The Anatomy of Evil,Like Moths To Flames,metalcore,LIKE
12558,Triumph - Instrumental,Wu-Tang Clan,Rap,DISLIKE
17,Scars,"LANDMVRKS, NOVELISTS",metalcore,LIKE
7081,4 Seasons Of Loneliness,Boyz II Men,Pop,DISLIKE
35,Orphan,Whitechapel,metalcore,LIKE
4409,Something About That Woman,Lakeside,Funk,DISLIKE
34,Darkbloom,We Came As Romans,metalcore,LIKE
7513,I Know,Dionne Farris,Pop,DISLIKE
10280,Who Can I Run To,Xscape,Pop,DISLIKE
8216,The Letter,Joe Cocker,Pop,DISLIKE
9340,The Sound Of Silence,Simon & Garfunkel,Pop,DISLIKE
10337,Johnny Too Bad,Anti-Nowhere League,Punk,DISLIKE
11555,Fire And Desire,Rick James,R&B,DISLIKE
149,Viscera,Veil Of Maya,metalcore,LIKE
8035,Popcorn,Hot Butter,Pop,DISLIKE
14,Blood & Water,Memphis May Fire,metalcore,LIKE
707,Little Room,The White Stripes,Alt. Rock,DISLIKE
3659,Last Train,Arlo Guthrie,Folk,DISLIKE
14927,I Dig You,Demis Roussos,World,DISLIKE
8243,Lonely Ol’ Night,John Cougar Mellencamp,Pop,DISLIKE
1213,Every Day I Have the Blues,Memphis Slim,Blues,DISLIKE
7204,Sweet Seasons,Carole King,Pop,DISLIKE
194,Translucent,"Termina, Nik Nocturnal, Andy Cizek",metalcore,LIKE
29,Levitate,Bleed From Within,metalcore,LIKE
8191,Good Timin’,Jimmy Jones,Pop,DISLIKE
8264,Gold,John Stewart,Pop,DISLIKE
22,Younger,Saviour,metalcore,LIKE
8001,I Don’t Know How To Love Him,Helen Reddy,Pop,DISLIKE
59,Where We Go When We Die,Thornhill,metalcore,LIKE
19,Welcome To Horrorwood,Ice Nine Kills,metalcore,LIKE
20,Intergalactic Casanova,One Morning Left,metalcore,LIKE
256,Latent Perception,Before I Turn,metalcore,LIKE
1825,Honky Tonk Women,"Hank Williams,Jr.",Country,DISLIKE
9645,There’s A Moon Out Tonight,The Capris,Pop,DISLIKE
12919,Trailer Load A Girls,Shabba Ranks,Reggae,DISLIKE
181,Milk,Garbage,Alt. Rock,DISLIKE
4292,Strictly Reserved for You,Charles Bradley,Funk,DISLIKE
